sheet_id,image_idx,kind,anchor,anchor_evidence,frame_measured,positional_grade,road_fit_resid_m,road_fit_shift_m,old_crop_shift_px,land_km2,sea_fraction,sheet_km2,notes
33-XXIV-f,36,single,cell,n/a (full cell),both,B,549,536,13.0,85.27,0.014,86.44,road fit scattered; modern road density likely confused it
33-XXIV-g,37,single,cell,n/a (full cell),both,B,444,438,22.5,65.97,0.237,86.43,road fit scattered; modern road density likely confused it
33-XXIV-h,38,single,cell,n/a (full cell),both,B,,,6.8,35.84,0.584,86.25,not enough road ink to check independently
33-XXIV-i,39,single,cell,n/a (full cell),both,A,21,31,13.0,52.19,0.398,86.64,road fit agrees with the global calibration
33-XXIV-k,40,single,cell,n/a (full cell),height,B,21,22,16.8,85.13,0.015,86.4,road fit agrees with the global calibration; frame only partly measurable (height)
33-XXIV-l,41,single,cell,n/a (full cell),both,A,21,0,6.0,84.63,0.022,86.56,road fit agrees with the global calibration
33-XXIV-m,42,single,cell,n/a (full cell),height,C,316,575,5.1,86.52,0.0,86.52,road fit scattered; modern road density likely confused it; frame only partly measurable (height)
33-XXIV-n,43,single,cell,n/a (full cell),both,B,762,605,0.0,79.81,0.075,86.31,road fit scattered; modern road density likely confused it
33-XXIV-o,44,single,cell,n/a (full cell),height,C,401,961,17.1,72.28,0.165,86.51,road fit scattered; modern road density likely confused it; frame only partly measurable (height)
33-XXIV-p,45,single,cell,n/a (full cell),both,A,73,45,24.8,86.53,0.0,86.53,road fit agrees with the global calibration
33-XXIV-q,46,single,cell,n/a (full cell),height,C,510,529,7.0,85.08,0.015,86.33,road fit scattered; modern road density likely confused it; frame only partly measurable (height)
33-XXV-ae,47,composite,top,shoreline,both,B,,,42.7,46.55,0.558,105.22,"not enough road ink to check independently; composite sheet, extends 2037 m beyond its cell; anchor confirmed by shoreline (2037 m margin over the other edge)"
33-XXV-b,48,single,cell,n/a (full cell),both,B,560,572,5.1,86.06,0.005,86.46,road fit scattered; modern road density likely confused it
33-XXV-c,49,single,cell,n/a (full cell),both,A,43,22,13.1,86.0,0.005,86.42,road fit agrees with the global calibration
33-XXV-d,50,single,cell,n/a (full cell),width,B,21,0,15.3,76.4,0.116,86.39,road fit agrees with the global calibration; frame only partly measurable (width)
33-XXV-f,51,single,cell,n/a (full cell),both,B,,,24.2,36.57,0.577,86.55,not enough road ink to check independently
33-XXV-g,52,single,cell,n/a (full cell),both,A,164,143,0.0,49.35,0.428,86.34,road fit agrees with the global calibration
33-XXV-h,53,single,cell,n/a (full cell),both,B,,,21.3,86.26,0.0,86.26,not enough road ink to check independently
33-XXV-m,54,single,cell,n/a (full cell),both,B,122,1536,23.9,25.68,0.703,86.56,road fit scattered; modern road density likely confused it
33-XXV-q,55,single,cell,n/a (full cell),both,B,21,1524,8.7,13.63,0.842,86.43,road fit scattered; modern road density likely confused it
33-XXVI-d,56,irregular,top,shoreline,both,B,,,25.4,20.37,0.781,93.1,"not enough road ink to check independently; irregular sheet, extends 734 m beyond its cell; anchor confirmed by shoreline (734 m margin over the other edge)"
34-XXIII-ie,57,composite,bottom,roads,both,B,492,1665,9.3,73.47,0.234,95.88,"road fit scattered; modern road density likely confused it; composite sheet, extends 1046 m beyond its cell; anchor confirmed by roads (2778 m margin over the other edge)"
34-XXIII-k,58,single,cell,n/a (full cell),height,C,1233,1157,22.0,54.56,0.369,86.44,road fit scattered; modern road density likely confused it; frame only partly measurable (height)
34-XXIII-l,59,single,cell,n/a (full cell),both,B,,,18.0,15.25,0.823,86.31,not enough road ink to check independently
34-XXIII-n,60,single,cell,n/a (full cell),both,B,,,5.1,86.49,0.0,86.49,not enough road ink to check independently
34-XXIII-o,61,single,cell,n/a (full cell),both,B,,,0.0,86.34,0.0,86.34,not enough road ink to check independently
34-XXIII-p,62,single,cell,n/a (full cell),both,B,332,341,8.9,86.61,0.0,86.61,road fit scattered; modern road density likely confused it
34-XXIV-a,63,single,cell,n/a (full cell),both,A,149,89,13.1,84.49,0.024,86.53,road fit agrees with the global calibration
34-XXIV-b,64,single,cell,n/a (full cell),both,A,21,0,3.7,53.33,0.382,86.35,road fit agrees with the global calibration
34-XXIV-cd,65,composite,left,shoreline,both,B,,,29.5,91.56,0.285,128.12,"not enough road ink to check independently; composite sheet, extends 4470 m beyond its cell; anchor confirmed by shoreline (4470 m margin over the other edge)"
34-XXIV-e,66,single,cell,n/a (full cell),both,B,234,219,22.0,86.59,0.0,86.59,road fit scattered; modern road density likely confused it
34-XXIV-f,67,single,cell,n/a (full cell),height,C,692,416,9.7,85.26,0.012,86.3,road fit scattered; modern road density likely confused it; frame only partly measurable (height)
34-XXIV-g,68,single,cell,n/a (full cell),both,B,468,445,0.0,86.32,0.0,86.32,road fit scattered; modern road density likely confused it
34-XXIV-h,69,single,cell,n/a (full cell),both,B,326,252,16.8,56.02,0.351,86.31,road fit scattered; modern road density likely confused it
34-XXIV-i,70,single,cell,n/a (full cell),both,A,21,67,3.9,86.25,0.0,86.25,road fit agrees with the global calibration
34-XXIV-k,71,single,cell,n/a (full cell),both,B,581,1037,9.1,84.65,0.019,86.29,road fit scattered; modern road density likely confused it
34-XXIV-l,72,single,cell,n/a (full cell),both,B,723,437,21.2,86.5,0.0,86.5,road fit scattered; modern road density likely confused it
34-XXIV-m,73,single,cell,n/a (full cell),both,A,43,22,3.7,86.37,0.0,86.37,road fit agrees with the global calibration
34-XXIV-n,74,single,cell,n/a (full cell),both,A,834,90,16.9,85.48,0.013,86.6,road fit agrees with the global calibration
34-XXIV-o,75,single,cell,n/a (full cell),both,B,422,337,21.7,79.69,0.079,86.51,road fit scattered; modern road density likely confused it
34-XXIV-p,76,single,cell,n/a (full cell),both,A,250,145,13.8,86.73,0.0,86.73,road fit agrees with the global calibration
34-XXIV-q,77,single,cell,n/a (full cell),both,B,234,184,17.6,86.93,0.0,86.93,road fit scattered; modern road density likely confused it
34-XXV-a,78,single,cell,n/a (full cell),both,A,21,0,9.5,86.44,0.0,86.44,road fit agrees with the global calibration
34-XXV-b,79,single,cell,n/a (full cell),both,A,21,0,0.0,86.5,0.0,86.5,road fit agrees with the global calibration
34-XXV-c,80,single,cell,n/a (full cell),width,C,359,371,6.7,85.16,0.012,86.21,road fit scattered; modern road density likely confused it; frame only partly measurable (width)
