sheet_id,kind,label,source_filename,crop_filename,year,method,instrument,crop_w,crop_h,frame_w,frame_h,frame_measured,cells,anchor,west,north,east,south,deg_per_px_x,deg_per_px_y,span_lon_arcmin,span_lat_arcmin
33-XXV-c,single,KK 083-04-01/085-04-10_051 - 05978 - 050,049_KK 083-04-01-085-04-10_051 - 05978 - 050.jpg,33-XXV-c.jpg,1929-1930,terrestrial,theodoliet- en bergboussole,4350,4330,4340.7,4318.4,both,"6,0",cell,105.6407273,-1.9997229,105.7242392,-2.0832798,0.000019198,0.000019297,5.0107,5.0134
33-XXV-d,single,KK 083-04-01/085-04-10_052 - 05978 - 051,050_KK 083-04-01-085-04-10_052 - 05978 - 051.jpg,33-XXV-d.jpg,1929-1930,terrestrial,theodoliet- en bergboussole,4348,4324,4334.1,4318.4,width,"7,0",cell,105.7241297,-1.9997709,105.8077303,-2.0832123,0.000019227,0.000019297,5.0160,5.0065
33-XXV-f,single,KK 083-04-01/085-04-10_053 - 05978 - 052,051_KK 083-04-01-085-04-10_053 - 05978 - 052.jpg,33-XXV-f.jpg,1928,terrestrial,theodoliet boussole en boussole tranche montagne,4340,4344,4330.4,4325.9,both,"5,1",cell,105.5574592,-2.0829785,105.6409773,-2.1666616,0.000019244,0.000019264,5.0111,5.0210
33-XXV-g,single,KK 083-04-01/085-04-10_054 - 05978 - 053,052_KK 083-04-01-085-04-10_054 - 05978 - 053.jpg,33-XXV-g.jpg,1928,terrestrial,theodoliet boussole en boussole tranche montagne,4342,4332,4333.5,4323.4,both,"6,1",cell,105.6407522,-2.0831583,105.7242489,-2.1666577,0.000019230,0.000019275,5.0098,5.0100
33-XXV-h,single,KK 083-04-01/085-04-10_055 - 05978 - 054,053_KK 083-04-01-085-04-10_055 - 05978 - 054.jpg,33-XXV-h.jpg,1928,terrestrial,boussole tranche montagne,4336,4332,4330.0,4325.0,both,"7,1",cell,105.7241239,-2.0831466,105.8075727,-2.1666152,0.000019246,0.000019268,5.0069,5.0081
33-XXV-m,single,KK 083-04-01/085-04-10_056 - 05978 - 055,054_KK 083-04-01-085-04-10_056 - 05978 - 055.jpg,33-XXV-m.jpg,1928,terrestrial,boussole tranche montagne,4338,4334,4325.1,4318.6,both,"7,2",cell,105.7240102,-2.1663232,105.8075921,-2.2499545,0.000019267,0.000019297,5.0149,5.0179
33-XXV-q,single,KK 083-04-01/085-04-10_057 - 05978 - 056,055_KK 083-04-01-085-04-10_057 - 05978 - 056.jpg,33-XXV-q.jpg,1928,terrestrial,boussole tranche montagne,4344,4324,4329.9,4315.8,both,"7,3",cell,105.7240873,-2.2498655,105.8076921,-2.3333573,0.000019246,0.000019309,5.0163,5.0095
33-XXVI-d,irregular,KK 083-04-01/085-04-10_058 - 05978 - 057,056_KK 083-04-01-085-04-10_058 - 05978 - 057.jpg,33-XXVI-d.jpg,1931,terrestrial,bergboussole,4352,4662,4337.6,4649.8,both,"7,4",top,105.7240510,-2.3330445,105.8076610,-2.4229789,0.000019212,0.000019291,5.0166,5.3961
34-XXIII-ie,composite,KK 083-04-01/085-04-10_059 - 05978 - 058,057_KK 083-04-01-085-04-10_059 - 05978 - 058.jpg,34-XXIII-ie.jpg,1931-1933,aerial,luchtfoto,4348,4812,4341.6,4792.8,both,"8,-6;8,-7",bottom,105.8074670,-1.4906298,105.8909231,-1.5833723,0.000019194,0.000019273,5.0074,5.5646
34-XXIII-k,single,KK 083-04-01/085-04-10_060 - 05978 - 059,058_KK 083-04-01-085-04-10_060 - 05978 - 059.jpg,34-XXIII-k.jpg,1932-1933,aerial,luchtfoto,4352,4338,4343.9,4325.2,height,"9,-6",cell,105.8906756,-1.4997210,105.9741643,-1.5833009,0.000019184,0.000019267,5.0093,5.0148
34-XXIII-l,single,KK 083-04-01/085-04-10_061 - 05978 - 060,059_KK 083-04-01-085-04-10_061 - 05978 - 060.jpg,34-XXIII-l.jpg,1931-1933,aerial,luchtfoto,4350,4334,4342.7,4327.1,both,"10,-6",cell,105.9741183,-1.4998270,106.0575917,-1.5832933,0.000019189,0.000019258,5.0084,5.0080
34-XXIII-n,single,KK 083-04-01/085-04-10_062 - 05978 - 061,060_KK 083-04-01-085-04-10_062 - 05978 - 061.jpg,34-XXIII-n.jpg,1933,aerial,luchtfoto,4358,4340,4347.5,4327.1,both,"8,-5",cell,105.8073903,-1.5831238,105.8909249,-1.6667054,0.000019168,0.000019258,5.0121,5.0149
34-XXIII-o,single,KK 083-04-01/085-04-10_063 - 05978 - 062,061_KK 083-04-01-085-04-10_063 - 05978 - 062.jpg,34-XXIII-o.jpg,1931-1933,aerial,luchtfoto,4350,4334,4342.4,4325.6,both,"9,-5",cell,105.8907677,-1.5831545,105.9742469,-1.6666497,0.000019191,0.000019265,5.0088,5.0097
34-XXIII-p,single,KK 083-04-01/085-04-10_064 - 05978 - 063,062_KK 083-04-01-085-04-10_064 - 05978 - 063.jpg,34-XXIII-p.jpg,1932-1933,aerial,luchtfoto,4360,4326,4342.4,4314.0,both,"10,-5",cell,105.9740857,-1.5831333,106.0577567,-1.6666979,0.000019191,0.000019317,5.0203,5.0139
34-XXIV-a,single,KK 083-04-01/085-04-10_065 - 05978 - 064,063_KK 083-04-01-085-04-10_065 - 05978 - 064.jpg,34-XXIV-a.jpg,1934,aerial,luchtfoto,4352,4338,4343.6,4320.7,both,"8,-4",cell,105.8074459,-1.6664821,105.8909404,-1.7501487,0.000019185,0.000019287,5.0097,5.0200
34-XXIV-b,single,KK 083-04-01/085-04-10_066 - 05978 - 065,064_KK 083-04-01-085-04-10_066 - 05978 - 065.jpg,34-XXIV-b.jpg,1934,aerial,luchtfoto,4342,4338,4338.5,4324.6,both,"9,-4",cell,105.8908137,-1.6663470,105.9742143,-1.7499388,0.000019208,0.000019270,5.0040,5.0155
34-XXIV-cd,composite,KK 083-04-01/085-04-10_067 - 05978 - 066,065_KK 083-04-01-085-04-10_067 - 05978 - 066.jpg,34-XXIV-cd.jpg,1932,terrestrial,theodoliet- en bergboussole,6406,4322,6394.9,4302.6,both,"10,-4;11,-4",left,105.9740563,-1.6663113,106.0976199,-1.7500204,0.000019289,0.000019368,7.4138,5.0225
34-XXIV-e,single,KK 083-04-01/085-04-10_068 - 05978 - 067,066_KK 083-04-01-085-04-10_068 - 05978 - 067.jpg,34-XXIV-e.jpg,1932,terrestrial,theodoliet- en bergboussole,4348,4340,4337.9,4321.2,both,"8,-3",cell,105.8074669,-1.7497093,105.8909943,-1.8334052,0.000019211,0.000019285,5.0116,5.0218
34-XXIV-f,single,KK 083-04-01/085-04-10_069 - 05978 - 068,067_KK 083-04-01-085-04-10_069 - 05978 - 068.jpg,34-XXIV-f.jpg,1932,terrestrial,theodoliet- en bergboussole,4342,4332,4338.8,4321.0,height,"9,-3",cell,105.8907695,-1.7498327,105.9741643,-1.8333782,0.000019207,0.000019286,5.0037,5.0127
34-XXIV-g,single,KK 083-04-01/085-04-10_070 - 05978 - 069,068_KK 083-04-01-085-04-10_070 - 05978 - 069.jpg,34-XXIV-g.jpg,1931-1933,terrestrial,theodoliet- en bergboussole,4352,4330,4343.8,4322.9,both,"10,-3",cell,105.9741106,-1.7498308,106.0576013,-1.8333009,0.000019184,0.000019277,5.0094,5.0082
34-XXIV-h,single,KK 083-04-01/085-04-10_071 - 05978 - 070,069_KK 083-04-01-085-04-10_071 - 05978 - 070.jpg,34-XXIV-h.jpg,1932,terrestrial,theodoliet- en bergboussole,4342,4328,4336.1,4318.9,both,"11,-3",cell,106.0574612,-1.7497671,106.1409079,-1.8332760,0.000019218,0.000019295,5.0068,5.0105
34-XXIV-i,single,KK 083-04-01/085-04-10_072 - 05978 - 071,070_KK 083-04-01-085-04-10_072 - 05978 - 071.jpg,34-XXIV-i.jpg,1931-1932,terrestrial,theodoliet- en bergboussole,4350,4330,4345.2,4322.7,both,"8,-2",cell,105.8074727,-1.8331680,105.8908981,-1.9166420,0.000019178,0.000019278,5.0055,5.0084
34-XXIV-k,single,KK 083-04-01/085-04-10_073 - 05978 - 072,071_KK 083-04-01-085-04-10_073 - 05978 - 072.jpg,34-XXIV-k.jpg,1931-1932,terrestrial,theodoliet- en bergboussole,4352,4330,4347.9,4320.1,both,"9,-2",cell,105.8908233,-1.8331700,105.9742352,-1.9166939,0.000019166,0.000019290,5.0047,5.0114
34-XXIV-l,single,KK 083-04-01/085-04-10_074 - 05978 - 073,072_KK 083-04-01-085-04-10_074 - 05978 - 073.jpg,34-XXIV-l.jpg,1931,terrestrial,theodoliet- en bergboussole,4328,4320,4313.4,4310.0,both,"10,-2",cell,105.9741296,-1.8331406,106.0577450,-1.9166679,0.000019320,0.000019335,5.0169,5.0116
34-XXIV-m,single,KK 083-04-01/085-04-10_075 - 05978 - 074,073_KK 083-04-01-085-04-10_075 - 05978 - 074.jpg,34-XXIV-m.jpg,1931,terrestrial,theodoliet- en bergboussole,4342,4330,4335.1,4318.8,both,"11,-2",cell,106.0574419,-1.8331872,106.1409079,-1.9167368,0.000019223,0.000019296,5.0080,5.0130
34-XXIV-n,single,KK 083-04-01/085-04-10_076 - 05978 - 075,074_KK 083-04-01-085-04-10_076 - 05978 - 075.jpg,34-XXIV-n.jpg,1932,terrestrial,theodoliet- en bergboussole,4360,4332,4341.9,4320.3,both,"8,-1",cell,105.8073863,-1.9164474,105.8910671,-2.0000062,0.000019193,0.000019289,5.0208,5.0135
